lab,model,card,card_date,benchmark,x_kind,x_unit,x,y,y_metric,source_file,page,figure,confidence
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,98.959,61.1,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,56.007,49.2,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,1.063,7.3,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,3.175,16.0,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,5.102,22.4,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,2.389,9.6,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,18.806,29.3,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,0.776,1.1,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,2.449,6.4,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,3.817,11.3,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,6.466,18.0,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,6.0,12.7,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,9.0,22.7,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,16.4,32.0,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,117.1,61.0,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,5.1,3.3,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,12.7,15.1,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,18.7,22.8,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,275.1,49.2,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,0.8,-0.0,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,15.0,7.0,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,29.4,16.0,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,39.8,22.4,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,14.2,9.6,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,27.7,18.8,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,93.2,29.2,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,8.0,1.2,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,19.8,6.4,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,31.1,11.3,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,KernelGen 1P,simulated latency,minutes,53.7,18.0,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 40,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,13.082,2.0,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,23.644,2.5,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,62.312,9.7,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,58.054,14.5,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,3.459,0.9,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,13.795,1.7,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,8.309,0.4,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,15.268,1.2,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,30.371,2.7,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,0.39,0.3,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,4.444,0.5,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,10.405,0.9,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,NanoGPT,API cost,USD,20.379,2.3,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 43,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,118.0,1.0,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,152.9,2.0,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,172.0,2.5,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,239.9,9.7,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,407.0,14.5,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,310.5,1.7,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,3.6,0.0,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,105.3,0.3,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,150.1,1.2,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,253.0,2.7,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,9.5,0.3,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,74.9,0.5,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,155.3,0.9,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,NanoGPT,simulated latency,minutes,280.1,2.3,mean reward %,cards/openai/gpt-5-6.pdf,64,Figure 44,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,78.8,25.0,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,121.6,32.5,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,184.6,56.7,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,205.3,55.2,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,212.0,43.4,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,238.1,50.3,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,126.0,21.6,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,205.0,28.2,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,244.8,41.4,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,245.9,49.3,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,259.8,51.5,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,90.2,6.5,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,165.4,25.2,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,185.4,29.6,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,213.1,33.9,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,51.3,3.1,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,107.2,10.3,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,196.0,38.8,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,198.2,35.4,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,203.5,30.5,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,104.5,17.5,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,167.2,39.9,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,189.9,36.2,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,PostTrainBench Lite,simulated latency,minutes,195.9,32.0,mean reward %,cards/openai/gpt-5-6.pdf,65,Figure 45,chart
openai,GPT-6 Astra,GPT-6 Astra system card,2026-09,Internal Research Debugging Eval,output tokens,tokens,5859.8,54.8,rubric score %,cards/openai/gpt-6-astra.html,,Figure 52,chart
openai,GPT-6 Astra,GPT-6 Astra system card,2026-09,Internal Research Debugging Eval,output tokens,tokens,7361.3,71.0,rubric score %,cards/openai/gpt-6-astra.html,,Figure 52,chart
openai,GPT-6 Astra,GPT-6 Astra system card,2026-09,Internal Research Debugging Eval,output tokens,tokens,8040.2,75.5,rubric score %,cards/openai/gpt-6-astra.html,,Figure 52,chart
openai,GPT-6 Astra,GPT-6 Astra system card,2026-09,Internal Research Debugging Eval,output tokens,tokens,10088.5,78.1,rubric score %,cards/openai/gpt-6-astra.html,,Figure 52,chart
openai,GPT-5.6 Sol,GPT-6 Astra system card,2026-09,Internal Research Debugging Eval,output tokens,tokens,5732.1,30.3,rubric score %,cards/openai/gpt-6-astra.html,,Figure 52,chart
openai,GPT-5.6 Sol,GPT-6 Astra system card,2026-09,Internal Research Debugging Eval,output tokens,tokens,7082.8,48.0,rubric score %,cards/openai/gpt-6-astra.html,,Figure 52,chart
openai,GPT-5.6 Sol,GPT-6 Astra system card,2026-09,Internal Research Debugging Eval,output tokens,tokens,9267.8,55.3,rubric score %,cards/openai/gpt-6-astra.html,,Figure 52,chart
openai,GPT-5.6 Sol,GPT-6 Astra system card,2026-09,Internal Research Debugging Eval,output tokens,tokens,12194.0,60.7,rubric score %,cards/openai/gpt-6-astra.html,,Figure 52,chart
openai,GPT-5.6 Sol,GPT-6 Astra system card,2026-09,Internal Research Debugging Eval,output tokens,tokens,20177.1,68.3,rubric score %,cards/openai/gpt-6-astra.html,,Figure 52,chart
openai,GPT-6 Astra,GPT-6 Astra system card,2026-09,KernelGen 1P,output tokens,tokens,4106.7,16.6,rubric score %,cards/openai/gpt-6-astra.html,,Figure 53,chart
openai,GPT-6 Astra,GPT-6 Astra system card,2026-09,KernelGen 1P,output tokens,tokens,19712.3,50.0,rubric score %,cards/openai/gpt-6-astra.html,,Figure 53,chart
openai,GPT-6 Astra,GPT-6 Astra system card,2026-09,KernelGen 1P,output tokens,tokens,23093.7,52.2,rubric score %,cards/openai/gpt-6-astra.html,,Figure 53,chart
openai,GPT-6 Astra,GPT-6 Astra system card,2026-09,KernelGen 1P,output tokens,tokens,61488.5,66.7,rubric score %,cards/openai/gpt-6-astra.html,,Figure 53,chart
openai,GPT-5.6 Sol,GPT-6 Astra system card,2026-09,KernelGen 1P,output tokens,tokens,5787.7,2.3,rubric score %,cards/openai/gpt-6-astra.html,,Figure 53,chart
openai,GPT-5.6 Sol,GPT-6 Astra system card,2026-09,KernelGen 1P,output tokens,tokens,13472.7,12.6,rubric score %,cards/openai/gpt-6-astra.html,,Figure 53,chart
openai,GPT-5.6 Sol,GPT-6 Astra system card,2026-09,KernelGen 1P,output tokens,tokens,24049.9,22.7,rubric score %,cards/openai/gpt-6-astra.html,,Figure 53,chart
openai,GPT-5.6 Sol,GPT-6 Astra system card,2026-09,KernelGen 1P,output tokens,tokens,47332.5,32.0,rubric score %,cards/openai/gpt-6-astra.html,,Figure 53,chart
openai,GPT-5.6 Sol,GPT-6 Astra system card,2026-09,KernelGen 1P,output tokens,tokens,295880.3,61.1,rubric score %,cards/openai/gpt-6-astra.html,,Figure 53,chart
