Model,Display name,eci,eci_ci_low,eci_ci_high,date,Organization,Country (of organization),Model accessibility,Accessibility group,model_versions
Qwen 3.5 Plus (hosted 397B-A17B),Qwen 3.5 Plus (hosted 397B-A17B),146.73,144.76,148.09,2026-02-16,Alibaba,China,Unknown,Other,
MiniMax-M2.5,MiniMax-M2.5,146.51,138.67,147.85,2026-02-12,MiniMax,China,Open weights (unrestricted),Open weights,
Qwen3.6 27B,Qwen3.6 27B,146.49,144.26,147.95,2026-04-22,Alibaba,China,Open weights (unrestricted),Open weights,
MiniMax-M3,MiniMax-M3,146.47,142.57,149.55,2026-06-01,MiniMax,China,Open weights (restricted use),Open weights,
Grok 4,Grok 4,146.45,144.62,148.2,2025-07-09,xAI,United States of America,API access,Closed weights,
Nemotron 3 Ultra,Nemotron 3 Ultra,146.27,144.01,148.3,2026-06-04,NVIDIA,United States of America,Open weights (unrestricted),Open weights,
DeepSeek-V3.2,DeepSeek-V3.2,146.19,144.45,147.44,2025-12-01,DeepSeek,China,Open weights (unrestricted),Open weights,
DeepSeek-V4-Flash,DeepSeek-V4-Flash,146.11,144.22,148.12,2026-04-24,DeepSeek,China,Open weights (unrestricted),Open weights,
GLM-5,GLM-5,145.85,144.17,147.76,2026-02-11,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
GPT-5.4 Nano,GPT-5.4 Nano,145.85,143.7,147.77,2026-03-17,OpenAI,United States of America,API access,Closed weights,
MiniMax-M2.7,MiniMax-M2.7,145.8,138.57,147.75,2026-03-18,MiniMax,China,Open weights (non-commercial),Open weights,
Kimi K2 Thinking,Kimi K2 Thinking,145.76,143.25,147.14,2025-11-06,Moonshot,China,Open weights (restricted use),Open weights,
o4-mini,o4-mini,145.65,143.36,147.36,2025-04-16,OpenAI,United States of America,API access,Closed weights,
GPT-5 mini,GPT-5 mini,145.52,143.6,147.15,2025-08-07,OpenAI,United States of America,API access,Closed weights,
Gemini 2.5 Pro (Jun 2025),Gemini 2.5 Pro (Jun 2025),145.26,143.82,146.79,2025-06-05,Google DeepMind,United States of America,API access,Closed weights,
Gemini 3.5 Flash-Lite,Gemini 3.5 Flash-Lite,145.13,142.76,146.76,2026-07-21,Google DeepMind,United States of America,API access,Closed weights,
DeepSeek-V3.2-Exp,DeepSeek-V3.2-Exp,145.02,142.61,147.24,2025-09-29,DeepSeek,China,Open weights (unrestricted),Open weights,
Qwen3.7 Flash,Qwen3.7 Flash,144.63,142.86,147.57,2026-07-27,Alibaba,China,API access,Closed weights,
Gemini 3.1 Flash-Lite,Gemini 3.1 Flash-Lite,144.49,142.78,146.17,2026-03-03,Google,United States of America,API access,Closed weights,
Grok 4 Fast,Grok 4 Fast,144.21,142.22,146.36,2025-09-19,xAI,United States of America,API access,Closed weights,
Gemini 2.5 Pro (Mar 2025),Gemini 2.5 Pro (Mar 2025),144.16,142.19,147.04,2025-03-31,Google DeepMind,United States of America,API access,Closed weights,
Claude Opus 4.1,Claude Opus 4.1,144.11,142.06,145.99,2025-08-05,Anthropic,United States of America,API access,Closed weights,
Qwen 3.5 Flash (hosted 35B-A3B),Qwen 3.5 Flash (hosted 35B-A3B),144.0,142.32,145.75,2026-02-25,Alibaba,China,Unknown,Other,
Qwen3-235B-A22B-Thinking (Jul 2025),Qwen3-235B-A22B-Thinking (Jul 2025),143.88,142.1,145.38,2025-07-25,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen 3.6 35B-A3B,Qwen 3.6 35B-A3B,143.86,141.79,146.13,2026-04-14,Alibaba,China,Open weights (unrestricted),Open weights,
GLM-4.7,GLM-4.7,143.46,141.57,145.43,2025-12-22,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Qwen 3.6 Flash,Qwen 3.6 Flash,143.27,140.98,144.97,2026-04-27,Alibaba,China,Unknown,Other,
Gemini 2.5 Flash (Sep 2025),Gemini 2.5 Flash (Sep 2025),142.99,139.67,146.63,2025-09-25,Google DeepMind,United States of America,API access,Closed weights,
Claude Opus 4,Claude Opus 4,142.68,140.74,144.27,2025-05-22,Anthropic,United States of America,API access,Closed weights,
Gemma 4 31B IT,Gemma 4 31B IT,142.66,140.48,145.02,2026-04-02,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
Qwen3.5-35B-A3B,Qwen3.5-35B-A3B,142.53,140.39,144.77,2026-02-24,Alibaba,China,Open weights (unrestricted),Open weights,
GPT-5.5 Instant,GPT-5.5 Instant,142.5,140.25,145.35,2026-05-05,OpenAI,United States of America,API access,Closed weights,
Gemini 2.5 Pro (May 2025),Gemini 2.5 Pro (May 2025),142.47,139.42,145.42,2025-05-06,Google DeepMind,United States of America,API access,Closed weights,
Qwen3-Max,Qwen3-Max,142.43,140.4,144.98,2025-09-24,Alibaba,China,API access,Closed weights,
Claude Haiku 4.5,Claude Haiku 4.5,142.37,139.8,144.07,2025-10-15,Anthropic,United States of America,API access,Closed weights,
o1,o1,141.86,140.15,143.11,2024-12-17,OpenAI,United States of America,API access,Closed weights,
Gemma 4 26B A4B,Gemma 4 26B A4B,141.86,138.61,143.65,2026-04-02,Google DeepMind,United States of America,Open weights (unrestricted),Open weights,
Claude Sonnet 4,Claude Sonnet 4,141.69,139.18,143.08,2025-05-22,Anthropic,United States of America,API access,Closed weights,
Gemini 2.5 Flash (May 2025),Gemini 2.5 Flash (May 2025),141.54,139.66,143.04,2025-05-20,Google DeepMind,United States of America,API access,Closed weights,
DeepSeek-R1 (May 2025),DeepSeek-R1 (May 2025),141.29,139.31,142.74,2025-05-28,DeepSeek,China,Open weights (unrestricted),Open weights,
Mistral Medium 3.5,Mistral Medium 3.5,141.28,139.38,143.28,2026-04-28,Mistral AI,France,Open weights (restricted use),Open weights,
Claude 3.7 Sonnet,Claude 3.7 Sonnet,141.16,139.15,142.7,2025-02-24,Anthropic,United States of America,API access,Closed weights,
GLM-4.6,GLM-4.6,140.78,135.2,142.57,2025-09-30,"Z.ai (Zhipu AI),Tsinghua University",China,Open weights (unrestricted),Open weights,
Gemini 2.5 Flash (Jun 2025),Gemini 2.5 Flash (Jun 2025),140.53,138.48,141.94,2025-06-17,Google DeepMind,United States of America,API access,Closed weights,
o3-mini,o3-mini,140.35,137.21,141.89,2025-01-31,OpenAI,United States of America,API access,Closed weights,
Grok-3 mini,Grok-3 mini,140.35,138.05,142.03,2025-06-24,xAI,United States of America,API access,Closed weights,
Kimi K2 (Jul 2025),Kimi K2 (Jul 2025),140.11,137.03,141.99,2025-07-12,Moonshot,China,Open weights (restricted use),Open weights,
gpt-oss-120b,gpt-oss-120b,140.1,136.28,142.7,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),Open weights,
Gemini 2.5 Flash (Apr 2025),Gemini 2.5 Flash (Apr 2025),139.97,135.94,142.06,2025-04-17,Google DeepMind,United States of America,API access,Closed weights,
DeepSeek-V3.1,DeepSeek-V3.1,139.92,136.28,143.28,2025-08-21,DeepSeek,China,Open weights (unrestricted),Open weights,
Qwen3-30B-A3B-Thinking (Jul 2025),Qwen3-30B-A3B-Thinking (Jul 2025),139.64,135.51,141.17,2025-07-30,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen3.5-9B,Qwen3.5-9B,139.44,136.67,141.53,2026-02-24,Alibaba,China,Open weights (restricted use),Open weights,
GPT-5 nano,GPT-5 nano,139.39,135.2,141.56,2025-08-07,OpenAI,United States of America,API access,Closed weights,
Qwen3-235B-A22B,Qwen3-235B-A22B,139.35,136.34,140.95,2025-04-28,Alibaba,China,Open weights (unrestricted),Open weights,
DeepSeek-R1,DeepSeek-R1,138.97,136.9,140.47,2025-01-20,DeepSeek,China,Open weights (unrestricted),Open weights,
Qwen3-235B-A22B-Instruct (Jul 2025),Qwen3-235B-A22B-Instruct (Jul 2025),138.92,135.97,140.87,2025-07-25,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen3-32B,Qwen3-32B,138.51,135.04,140.45,2025-04-29,Alibaba,China,Open weights (unrestricted),Open weights,
Grok 3,Grok 3,138.3,135.93,139.83,2025-04-09,xAI,United States of America,API access,Closed weights,
Qwen3-14B,Qwen3-14B,138.24,133.78,139.91,2025-04-29,Alibaba,China,Open weights (unrestricted),Open weights,
gpt-oss-20b,gpt-oss-20b,137.8,133.26,139.73,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),Open weights,
QwQ-32B,QwQ-32B,137.6,132.9,141.53,2025-03-05,Alibaba,China,Open weights (unrestricted),Open weights,
DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-32B,137.42,131.53,138.84,2025-01-20,DeepSeek,China,Open weights (unrestricted),Open weights,
Qwen3-30B-A3B-Instruct (Jul 2025),Qwen3-30B-A3B-Instruct (Jul 2025),137.42,131.98,139.5,2025-07-29,Alibaba,China,Open weights (unrestricted),Open weights,
GPT-4.1,GPT-4.1,136.8,134.37,138.51,2025-04-14,OpenAI,United States of America,API access,Closed weights,
GPT-4.5,GPT-4.5,136.75,134.26,138.84,2025-02-27,OpenAI,United States of America,API access,Closed weights,
Qwen3-30B-A3B,Qwen3-30B-A3B,136.19,130.67,138.63,2025-04-29,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen3-8B,Qwen3-8B,136.18,130.64,138.29,2025-04-28,Alibaba,China,Open weights (unrestricted),Open weights,
DeepSeek-V3 (Mar 2025),DeepSeek-V3 (Mar 2025),135.95,133.32,137.9,2025-03-24,DeepSeek,China,Open weights (restricted use),Open weights,
o1-mini,o1-mini,135.82,132.6,137.28,2024-09-12,OpenAI,United States of America,API access,Closed weights,
DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-14B,135.43,127.32,138.15,2025-01-20,DeepSeek,China,Open weights (unrestricted),Open weights,
Gemini 2.0 Flash Thinking (Jan 2025),Gemini 2.0 Flash Thinking (Jan 2025),135.37,130.54,138.06,2025-01-21,"Google DeepMind,Google",United States of America,API access,Closed weights,
Gemini 2.0 Pro,Gemini 2.0 Pro,135.06,132.0,136.72,2025-02-05,Google DeepMind,United States of America,Hosted access (no API),Closed weights,
GPT-4.1 mini,GPT-4.1 mini,135.02,131.78,136.65,2025-04-14,OpenAI,United States of America,API access,Closed weights,
o1-preview,o1-preview,134.78,131.38,138.44,2024-09-12,OpenAI,United States of America,API access,Closed weights,
Gemini 2.0 Flash (Dec 2024),Gemini 2.0 Flash (Dec 2024),134.71,124.75,136.67,2024-12-11,"Google DeepMind,Google",United States of America,API access,Closed weights,
Gemini 2.0 Flash (Feb 2025),Gemini 2.0 Flash (Feb 2025),134.69,132.02,136.71,2025-02-05,"Google DeepMind,Google",United States of America,API access,Closed weights,
Mistral Medium 3,Mistral Medium 3,134.07,130.83,135.56,2025-05-07,Mistral AI,France,API access,Closed weights,
Gemini 2.5 Flash-Lite (Jun 2025),Gemini 2.5 Flash-Lite (Jun 2025),133.93,130.93,136.34,2025-06-17,Google DeepMind,United States of America,API access,Closed weights,
Claude 3.5 Sonnet (October 2024),Claude 3.5 Sonnet (October 2024),133.55,129.7,138.29,2024-10-22,Anthropic,United States of America,API access,Closed weights,
Magistral Small 1.0,Magistral Small 1.0,133.19,130.02,134.49,2025-06-10,Mistral AI,France,Open weights (unrestricted),Open weights,
Qwen2.5-Max,Qwen2.5-Max,132.53,129.09,135.74,2025-01-25,Alibaba,China,API access,Closed weights,
DeepSeek-V3,DeepSeek-V3,132.35,128.55,135.57,2024-12-26,DeepSeek,China,Open weights (restricted use),Open weights,
Llama 4 Maverick,Llama 4 Maverick,132.2,128.7,134.05,2025-04-06,Meta AI,United States of America,Open weights (restricted use),Open weights,
Mistral Small 3.2,Mistral Small 3.2,131.74,126.94,133.88,2025-06-20,Mistral AI,France,Open weights (unrestricted),Open weights,
Gemini 1.5 Pro (Sept 2024),Gemini 1.5 Pro (Sept 2024),131.73,128.47,133.31,2024-09-24,Google DeepMind,United States of America,API access,Closed weights,
Magistral Small 1.2,Magistral Small 1.2,131.41,127.11,133.67,2025-09-18,Mistral AI,France,Open weights (unrestricted),Open weights,
Grok-2 (Dec 2024),Grok-2 (Dec 2024),130.48,126.21,132.43,2024-12-12,xAI,United States of America,API access,Closed weights,
Phi-4,Phi-4,130.42,125.56,132.22,2024-12-12,Microsoft Research,United States of America,Open weights (unrestricted),Open weights,
Gemma 3 27B,Gemma 3 27B,130.03,125.11,132.2,2025-03-12,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
Claude 3.5 Sonnet,Claude 3.5 Sonnet,130.0,,,2024-06-20,Anthropic,United States of America,API access,Closed weights,
Llama 4 Scout,Llama 4 Scout,129.64,125.22,131.37,2025-04-05,Meta AI,United States of America,Open weights (restricted use),Open weights,
GPT-4.1 nano,GPT-4.1 nano,129.63,124.26,131.97,2025-04-14,OpenAI,United States of America,API access,Closed weights,
Gemini 1.5 Flash (Sep 2024),Gemini 1.5 Flash (Sep 2024),129.36,124.24,131.19,2024-09-24,Google DeepMind,United States of America,API access,Closed weights,
Qwen2.5-72B,Qwen2.5-72B,129.0,124.2,130.83,2024-09-19,Alibaba,China,Open weights (unrestricted),Open weights,
GPT-4o (May 2024),GPT-4o (May 2024),128.97,125.32,131.55,2024-05-13,OpenAI,United States of America,API access,Closed weights,
GPT-4o (Nov 2024),GPT-4o (Nov 2024),128.81,124.89,131.18,2024-11-20,OpenAI,United States of America,API access,Closed weights,
GPT-4o (Aug 2024),GPT-4o (Aug 2024),128.77,124.75,131.04,2024-08-06,OpenAI,United States of America,API access,Closed weights,
Llama 3.1-405B,Llama 3.1-405B,128.75,124.83,130.75,2024-07-23,Meta AI,United States of America,Open weights (restricted use),Open weights,
Qwen2.5-32B,Qwen2.5-32B,128.52,123.46,130.17,2024-09-17,Alibaba,China,Open weights (unrestricted),Open weights,
Mistral Large 2 (Nov 2024),Mistral Large 2 (Nov 2024),128.52,124.64,130.68,2024-11-18,Mistral AI,France,Open weights (non-commercial),Open weights,
Mistral Large 2 (Jul 2024),Mistral Large 2 (Jul 2024),127.54,123.38,129.87,2024-07-24,Mistral AI,France,Open weights (non-commercial),Open weights,
Mistral Small 3.1,Mistral Small 3.1,127.48,123.58,129.41,2025-03-17,Mistral AI,France,Open weights (unrestricted),Open weights,
Llama 3.3 70B,Llama 3.3 70B,127.32,123.07,129.81,2024-12-06,Meta AI,United States of America,Open weights (restricted use),Open weights,
GPT-4 Turbo (Apr 2024),GPT-4 Turbo (Apr 2024),127.25,123.32,128.87,2024-04-09,OpenAI,United States of America,API access,Closed weights,
Claude 3.5 Haiku,Claude 3.5 Haiku,127.15,120.88,129.73,2024-10-22,Anthropic,United States of America,API access,Closed weights,
Mistral Small 3,Mistral Small 3,127.07,122.77,129.11,2025-01-30,Mistral AI,France,Open weights (unrestricted),Open weights,
Claude 3 Opus,Claude 3 Opus,126.91,123.2,130.09,2024-02-29,Anthropic,United States of America,API access,Closed weights,
Gemini 1.5 Pro (May 2024),Gemini 1.5 Pro (May 2024),126.9,122.76,129.18,2024-05-14,Google DeepMind,United States of America,API access,Closed weights,
GPT-4o mini,GPT-4o mini,126.56,121.04,128.51,2024-07-18,OpenAI,United States of America,API access,Closed weights,
GPT-4 Turbo (Nov 2023),GPT-4 Turbo (Nov 2023),126.45,122.53,129.06,2024-01-25,OpenAI,United States of America,API access,Closed weights,
Llama 3.1-70B,Llama 3.1-70B,125.91,121.49,128.4,2024-07-23,Meta AI,United States of America,Open weights (restricted use),Open weights,
GPT-4 (Mar 2023),GPT-4 (Mar 2023),125.89,120.86,130.92,2023-03-14,OpenAI,United States of America,API access,Closed weights,
Llama 3.2 90B,Llama 3.2 90B,125.5,120.84,127.41,2024-09-24,Meta AI,United States of America,Open weights (restricted use),Open weights,
Qwen2-72B,Qwen2-72B,125.27,120.23,126.96,2024-06-07,Alibaba,China,Open weights (unrestricted),Open weights,
"DeepSeek-V2 (MoE-236B, May 2024)","DeepSeek-V2 (MoE-236B, May 2024)",124.77,119.95,127.8,2024-05-07,DeepSeek,China,Open weights (restricted use),Open weights,
Amazon Nova Pro,Amazon Nova Pro,123.77,109.93,126.64,2024-12-03,Amazon,United States of America,API access,Closed weights,
Gemma 3 12B,Gemma 3 12B,123.46,115.68,129.29,2025-03-12,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
GPT-4 (Jun 2023),GPT-4 (Jun 2023),123.1,117.33,126.96,2023-06-13,OpenAI,United States of America,API access,Closed weights,
Llama 3-70B,Llama 3-70B,122.91,118.22,125.97,2024-04-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
Gemini 1.5 Flash (May 2024),Gemini 1.5 Flash (May 2024),122.57,117.47,124.66,2024-05-23,Google DeepMind,United States of America,API access,Closed weights,
Gemma 2 27B,Gemma 2 27B,122.05,116.0,124.19,2024-06-24,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
Mixtral 8x22B,Mixtral 8x22B,122.0,115.9,124.51,2024-04-17,Mistral AI,France,Open weights (unrestricted),Open weights,
Mistral Large,Mistral Large,122.0,115.45,124.63,2024-02-26,Mistral AI,France,API access,Closed weights,
phi-3-small 7.4B,phi-3-small 7.4B,121.8,116.07,124.75,2024-04-23,Microsoft,United States of America,Open weights (unrestricted),Open weights,
phi-3-medium 14B,phi-3-medium 14B,121.19,115.62,124.27,2024-04-23,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Claude 3 Sonnet,Claude 3 Sonnet,120.68,113.41,124.15,2024-02-29,Anthropic,United States of America,API access,Closed weights,
Claude Instant,Claude Instant,120.2,114.06,122.84,2023-08-09,Anthropic,United States of America,API access,Closed weights,
Claude 2,Claude 2,120.09,114.65,123.88,2023-07-11,Anthropic,United States of America,API access,Closed weights,
Gemma 2 9B,Gemma 2 9B,119.79,112.51,122.42,2024-06-24,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
Qwen2.5-Coder-32B,Qwen2.5-Coder-32B,119.42,110.95,124.94,2024-09-18,Alibaba,China,Open weights (unrestricted),Open weights,
Command R+,Command R+,119.25,111.34,125.27,2024-08-30,"Cohere,Cohere Labs (formerly Cohere for AI)",Canada,Open weights (non-commercial),Open weights,
Claude 2.1,Claude 2.1,119.22,113.09,122.07,2023-11-21,Anthropic,United States of America,API access,Closed weights,
Mistral NeMo,Mistral NeMo,118.64,112.08,121.77,2024-07-18,Mistral AI,France,Open weights (unrestricted),Open weights,
GPT-3.5 Turbo (Nov 2023),GPT-3.5 Turbo (Nov 2023),118.49,109.97,121.66,2023-11-06,OpenAI,United States of America,API access,Closed weights,
Qwen2.5-7B,Qwen2.5-7B,118.44,111.37,121.21,2024-09-19,Alibaba,China,Open weights (unrestricted),Open weights,
Mixtral 8x7B,Mixtral 8x7B,118.4,112.43,121.19,2023-12-11,Mistral AI,France,Open weights (unrestricted),Open weights,
Claude 3 Haiku,Claude 3 Haiku,118.3,112.27,121.43,2024-03-07,Anthropic,United States of America,API access,Closed weights,
Ministral 3B,Ministral 3B,118.06,106.88,121.5,2024-10-16,Mistral AI,France,API access,Closed weights,
Yi-34B,Yi-34B,117.3,110.2,120.62,2023-11-02,01.AI,China,Open weights (restricted use),Open weights,
phi-3-mini 3.8B,phi-3-mini 3.8B,117.25,108.88,121.19,2024-04-23,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Stable Beluga 2,Stable Beluga 2,117.0,110.4,120.04,2023-07-20,Stability AI,United Kingdom,Open weights (non-commercial),Open weights,
Gemini 1.0 Pro,Gemini 1.0 Pro,116.97,111.28,119.91,2023-12-13,Google DeepMind,United States of America,API access,Closed weights,
Llama 3.1-8B,Llama 3.1-8B,116.5,107.07,121.8,2024-07-23,Meta AI,United States of America,Open weights (restricted use),Open weights,
Llama 3-8B,Llama 3-8B,116.35,109.0,119.28,2024-04-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
Qwen2.5-Coder-14B,Qwen2.5-Coder-14B,116.28,107.63,122.1,2024-09-18,,,Unknown,Other,
Gemma 3 4B,Gemma 3 4B,115.97,97.92,123.7,2025-03-12,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
